id_service,case_ump
5270.2769633,3
5270.2769169,3
5270.2769428,3
5270.2769591,3
5270.2769530,3
5270.2769638,3
5270.2769314,3
5270.2769133,3
5270.2769654,3
5270.2769322,3
5270.2769455,3
5270.2769553,3
5270.2769118,3
5270.2769439,3
5270.2769307,3
5270.2769358,3
5270.2769348,3
5270.2769590,3
5270.2769387,3
5270.2769106,3
5270.2769142,3
5270.2769395,3
5270.2769252,3
5270.2769434,3
5270.2769330,3
5270.2769680,3
5270.2769137,3
5270.2769336,3
5270.2769237,3
5270.2769346,3
5270.2769412,3
5270.2769364,3
5270.2769174,3
5270.2769323,3
5270.2769415,3
5270.2769116,3
5270.2769241,3
5270.2769411,3
5270.2769593,3
5270.2769612,3
5270.2769461,3
5270.2769641,3
5270.2769449,3
5270.2769425,3
5270.2769502,3
5270.2769210,3
5270.2769192,3
5270.2769277,3
5270.2769529,3
5270.2769129,3
5270.2769289,3
5270.2769603,3
5270.2769287,3
5270.2769185,3
5270.2769664,3
5270.2769715,3
5270.2769186,3
5270.2769189,3
5270.2769212,3
5270.2769208,3
5270.2769122,3
5270.2769431,3
5270.2769544,3
5270.2769288,3
5270.2769423,3
5270.2769268,3
5270.2769609,3
5270.2769320,3
5270.2769372,3
5270.2769149,3
5270.2769108,3
5270.2769713,3
5270.2769447,3
5270.2769201,3
5270.2769602,3
5270.2769334,3
5270.2769123,3
5270.2769119,3
5270.2769540,3
5270.2769109,3
5270.2769601,3
5270.2769521,3
5270.2769187,3
5270.2769333,3
5270.2769463,3
5270.2769509,3
5270.2769501,3
5270.2769436,3
5270.2769247,3
5270.2769275,3
5270.2769270,3
5270.2769153,3
5270.2769659,3
5270.2769600,3
5270.2769592,3
5270.2769677,3
5270.2769202,3
5270.2769491,3
5270.2769667,3
5270.2769676,3
5270.2769207,3
5270.2769405,3
5270.2769152,3
5270.2769419,3
5270.2769347,3
5270.2769581,3
5270.2769143,3
5270.2769647,3
5270.2769251,3
5270.2769562,3
5270.2769483,3
