"id_service","ctrldate"
"5270.2769633",2023-05-03
"5270.2769169",2023-05-03
"5270.2769428",2023-05-03
"5270.2769591",2023-05-03
"5270.2769530",2023-05-03
"5270.2769638",2023-05-03
"5270.2769314",2023-05-03
"5270.2769133",2023-05-03
"5270.2769654",2023-05-03
"5270.2769322",2023-05-03
"5270.2769455",2023-05-03
"5270.2769553",2023-05-03
"5270.2769118",2023-05-03
"5270.2769439",2023-05-03
"5270.2769307",2023-05-03
"5270.2769358",2023-05-03
"5270.2769348",2023-05-03
"5270.2769590",2023-05-03
"5270.2769387",2023-05-03
"5270.2769106",2023-05-03
"5270.2769142",2023-05-03
"5270.2769395",2023-05-03
"5270.2769252",2023-05-03
"5270.2769434",2023-05-03
"5270.2769330",2023-05-03
"5270.2769680",2023-05-03
"5270.2769137",2023-05-03
"5270.2769336",2023-05-03
"5270.2769237",2023-05-03
"5270.2769346",2023-05-03
"5270.2769412",2023-05-03
"5270.2769364",2023-05-03
"5270.2769174",2023-05-03
"5270.2769323",2023-05-03
"5270.2769415",2023-05-03
"5270.2769116",2023-05-03
"5270.2769241",2023-05-03
"5270.2769411",2023-05-03
"5270.2769593",2023-05-03
"5270.2769612",2023-05-03
"5270.2769461",2023-05-03
"5270.2769641",2023-05-03
"5270.2769449",2023-05-03
"5270.2769425",2023-05-03
"5270.2769502",2023-05-03
"5270.2769210",2023-05-03
"5270.2769192",2023-05-03
"5270.2769277",2023-05-03
"5270.2769529",2023-05-03
"5270.2769129",2023-05-03
"5270.2769289",2023-05-03
"5270.2769603",2023-05-03
"5270.2769287",2023-05-03
"5270.2769185",2023-05-03
"5270.2769664",2023-05-03
"5270.2769715",2023-05-03
"5270.2769186",2023-05-03
"5270.2769189",2023-05-03
"5270.2769212",2023-05-03
"5270.2769208",2023-05-03
"5270.2769122",2023-05-03
"5270.2769431",2023-05-03
"5270.2769544",2023-05-03
"5270.2769288",2023-05-03
"5270.2769423",2023-05-03
"5270.2769268",2023-05-03
"5270.2769609",2023-05-03
"5270.2769320",2023-05-03
"5270.2769372",2023-05-03
